Player;Team;Age;Min;PTS;FG%;3P%;FT%;DREB;REB;AST;STL;BLK
Tari Eason;HOU;23;4.0;6.0;30.0;0.0;0.0;2.0;4.0;0.0;2.0;1.0
Thomas Bryant;IND;27;4.0;6.0;50.0;50.0;75.0;0.0;1.0;0.0;0.0;0.0
Ajay Mitchell;OKC;22;4.0;5.0;33.3;25.0;0.0;1.0;1.0;2.0;0.0;0.0
Al Horford;BOS;38;4.0;5.0;66.7;100;0.0;5.0;5.0;3.0;1.0;0.0
Dalton Knecht;LAL;24;3.0;5.0;50.0;33.3;0.0;1.0;3.0;0.0;0.0;0.0
Derrick Jones Jr.;LAC;28;4.0;5.0;36.4;0.0;100;2.0;3.0;0.0;0.5;1.0
Gui Santos;GSW;22;4.0;5.0;100;100;100;1.0;1.0;0.0;0.0;0.0
Kristaps Porzi??is;BOS;29;4.0;5.0;12.0;0.0;75.0;3.0;6.0;2.0;4.0;1.0
Luke Kennard;MEM;28;12.0;5.0;50.0;50.0;0.0;3.0;3.0;0.0;1.0;0.0
Ryan Rollins;MIL;22;4.0;5.0;25.0;25.0;0.0;1.0;2.0;3.0;1.0;0.0
Santi Aldama;MEM;24;4.0;5.0;33.3;33.3;0.0;3.0;4.0;3.0;0.0;0.0
Peyton Watson;DEN;22;4.0;4.0;50.0;0.0;75.0;3.0;3.0;0.5;1.0;0.0
Bobby Portis;MIL;30;4.0;4.0;25.0;0.0;0.0;6.0;8.0;0.0;0.0;0.0
Cole Anthony;ORL;24;4.0;4.0;33.3;0.0;100;0.0;0.0;3.0;0.0;0.0
Draymond Green;GSW;35;36.5;4.0;40.0;0.0;0.0;5.0;6.0;3.0;3.0;1.0
Jaren Jackson Jr.;MEM;25;4.0;4.0;15.0;0.0;0.0;0.0;3.0;2.0;1.0;0.0
Lamar Stevens;MEM;27;12.0;4.0;22.0;0.0;0.0;4.0;4.0;1.0;0.0;0.0
Miles McBride;NYK;24;4.0;4.0;30.0;33.3;0.0;1.0;1.0;2.0;0.5;0.0
Wendell Carter Jr.;ORL;26;4.0;4.0;33.3;0.0;0.0;10.0;13.0;0.0;0.0;0.0
Zach Edey;MEM;22;4.0;4.0;40.0;0.0;0.0;5.0;9.0;1.0;0.0;0.0
Anthony Black;ORL;21;4.0;3.0;25.0;100;0.0;1.0;4.0;0.0;0.0;1.0
Caleb Houstan;ORL;22;4.0;3.0;20.0;50.0;0.0;0.0;2.0;1.0;0.0;1.0
Dorian Finney-Smith;LAL;31;32.5;3.0;20.0;33.3;0.0;1.0;3.0;2.0;0.0;0.0
Gabe Vincent;LAL;28;4.0;3.0;33.3;33.3;0.0;0.0;0.0;1.0;0.0;1.0
Jarace Walker;IND;21;4.0;3.0;50.0;100;0.0;5.0;5.0;0.0;1.0;1.0
Mitchell Robinson;NYK;27;19.0;3.0;60.0;0.0;0.0;3.0;6.0;0.5;0.5;1.0
Pat Connaughton;MIL;32;4.0;3.0;100;100;0.0;0.0;0.0;0.0;0.0;0.0
Vince Williams Jr.;MEM;24;19.0;3.0;50.0;50.0;0.0;2.0;3.0;1.0;1.0;0.0
Buddy Hield;GSW;32;4.0;2.0;25.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0
Cason Wallace;OKC;21;4.0;2.0;100;0.0;0.0;2.0;2.0;3.0;1.0;0.0
Dillon Jones;OKC;23;4.0;2.0;50.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
Isaiah Stewart;DET;23;4.0;2.0;50.0;0.0;0.0;4.0;5.0;1.0;0.0;2.0
